mode,sequence_length,window,batch_size,dtype,num_heads,head_dim,model_width,block_size,A100-40GB,B200,H100,a100_to_h100_latency_ratio,h100_to_b200_latency_ratio,attention_density
forward,1024.0,128.0,2.0,bfloat16,32.0,128.0,4096.0,128.0,0.3379200026392936,0.1127679999917745,0.140464000403881,2.405740984648455,1.2456015927756694,0.125
forward,1024.0,512.0,4.0,float16,32.0,128.0,4096.0,128.0,0.7255039811134338,0.2314159981906414,0.2868319973349571,2.52936906570505,1.2394648579942333,0.5
forward,1024.0,1024.0,4.0,float16,32.0,128.0,4096.0,128.0,0.794624000787735,0.2498959973454475,0.3079359978437423,2.580484277096293,1.232256623214586,1.0
forward,1024.0,1024.0,4.0,float16,64.0,64.0,4096.0,128.0,0.6202879995107651,0.1988799981772899,0.2083600014448166,2.977001320836745,1.0476669517015773,1.0
forward,1024.0,4096.0,2.0,float16,64.0,64.0,4096.0,64.0,0.3973120003938675,0.1193359978497028,0.1391199976205825,2.855894243740887,1.165784005893985,1.0
forward,1024.0,8192.0,2.0,float16,32.0,128.0,4096.0,64.0,0.526591993868351,0.1385679990053177,0.1929120011627674,2.7297005406317085,1.3921829177555216,1.0
forward,1024.0,8192.0,2.0,float16,64.0,64.0,4096.0,256.0,0.420864000916481,0.1202799994498491,0.1648319996893406,2.553290633552252,1.370402398098343,1.0
forward,2048.0,128.0,1.0,bfloat16,64.0,64.0,4096.0,256.0,0.4236800000071525,0.1183919999748468,0.132592000067234,3.195366234707337,1.1199405373285705,0.0625
forward,2048.0,512.0,1.0,float16,64.0,64.0,4096.0,128.0,0.3458559960126877,0.1269920021295547,0.1710480004549026,2.021982104981542,1.3469194719869275,0.25
forward,2048.0,512.0,4.0,bfloat16,32.0,128.0,4096.0,128.0,1.3585920333862305,0.4261119961738586,0.5468079894781113,2.4845870205424547,1.2832494611463774,0.25
forward,2048.0,1024.0,1.0,bfloat16,32.0,128.0,4096.0,128.0,0.724480003118515,0.2020479999482631,0.2609120011329651,2.7767216531726646,1.2913367180064876,0.5
forward,2048.0,1024.0,2.0,bfloat16,32.0,128.0,4096.0,64.0,1.269247978925705,0.296935997903347,0.379831999540329,3.3416036049141287,1.2791712767138617,0.5
forward,2048.0,1024.0,4.0,bfloat16,32.0,128.0,4096.0,64.0,2.057983994483948,0.5604159832000732,0.6723840087652206,3.0607271553992947,1.1997944900246964,0.5
forward,2048.0,2048.0,1.0,float16,32.0,128.0,4096.0,64.0,0.8238079994916916,0.210351999849081,0.2739440053701401,3.007213092247087,1.3023123410601456,1.0
forward,2048.0,4096.0,1.0,bfloat16,32.0,128.0,4096.0,128.0,0.7203840017318726,0.2337759956717491,0.3238399997353554,2.2245059360195656,1.385257707083269,1.0
forward,2048.0,4096.0,2.0,float16,32.0,128.0,4096.0,256.0,1.3688320219516754,0.406031996011734,0.5403920114040375,2.5330352652608594,1.3309099201837793,1.0
forward,2048.0,4096.0,4.0,bfloat16,64.0,64.0,4096.0,256.0,1.6424959897994995,0.4878239929676056,0.5871360003948212,2.7974710947633916,1.2035816377605077,1.0
forward,2048.0,8192.0,1.0,bfloat16,32.0,128.0,4096.0,128.0,0.7552000135183334,0.2261519990861416,0.3067279905080795,2.4621163926623804,1.3562913073841385,1.0
forward,2048.0,8192.0,4.0,float16,64.0,64.0,4096.0,128.0,1.5754239857196808,0.4877759963274002,0.5484240055084229,2.8726386334222656,1.124335780435401,1.0
forward,4096.0,,2.0,float16,32.0,128.0,4096.0,,1.8900479674339292,0.8410959839820862,0.9130560159683228,2.0700241106559907,1.085555077371252,1.0
forward,4096.0,128.0,2.0,float16,32.0,128.0,4096.0,64.0,0.6177280098199844,0.2955119982361793,0.3116879984736442,1.9818793564238517,1.054738894982317,0.03125
forward,4096.0,128.0,2.0,float16,32.0,128.0,4096.0,256.0,1.4123520255088806,0.451104000210762,0.5358079969882965,2.635929350527648,1.1877704403817293,0.03125
forward,4096.0,128.0,4.0,bfloat16,32.0,128.0,4096.0,256.0,2.155264019966125,0.8253999948501587,1.0757200121879578,2.0035548242543446,1.3032711641623425,0.03125
forward,4096.0,256.0,2.0,bfloat16,32.0,128.0,4096.0,64.0,1.1279360055923462,0.3123920038342476,0.3640160039067268,3.098589055115724,1.165253909955616,0.0625
forward,4096.0,1024.0,2.0,bfloat16,32.0,128.0,4096.0,128.0,2.231295943260193,0.6490399986505508,0.818200021982193,2.727078811186776,1.2606311224013167,0.25
forward,4096.0,1024.0,2.0,bfloat16,32.0,128.0,4096.0,256.0,2.4550400972366333,0.729215994477272,0.9363360106945038,2.6219648386861345,1.2840310933740595,0.25
forward,4096.0,1024.0,2.0,bfloat16,64.0,64.0,4096.0,128.0,1.4141440391540527,0.4591599926352501,0.5001920014619827,2.827202424310528,1.0893632056034286,0.25
forward,4096.0,2048.0,4.0,bfloat16,64.0,64.0,4096.0,64.0,3.733503997325897,1.1462799906730652,1.323599994182587,2.8207192609060034,1.154691702683743,0.5
forward,8192.0,128.0,2.0,bfloat16,64.0,64.0,4096.0,128.0,1.0191359966993332,0.4241839945316314,0.4047759994864464,2.5177777288978276,0.9542462815773739,0.015625
forward,8192.0,128.0,4.0,bfloat16,64.0,64.0,4096.0,256.0,3.5509760975837708,1.158264011144638,1.2177999913692474,2.915894336303279,1.0514010447115367,0.015625
forward,8192.0,256.0,2.0,float16,32.0,128.0,4096.0,256.0,2.6869760155677795,0.8434159904718399,1.011599987745285,2.656164539460576,1.1994081202792426,0.03125
forward,8192.0,512.0,4.0,bfloat16,64.0,64.0,4096.0,256.0,4.798975944519043,1.4077679812908173,1.5642080008983612,3.0679909204932327,1.111126280528202,0.0625
forward,8192.0,1024.0,1.0,bfloat16,32.0,128.0,4096.0,256.0,2.907136082649231,0.7655519992113113,0.9704160094261168,2.9957626980705405,1.2676029981318853,0.125
forward,8192.0,1024.0,2.0,float16,32.0,128.0,4096.0,64.0,5.610239863395691,1.244383990764618,1.5496719777584076,3.620275738295838,1.2453326218108962,0.125
forward,8192.0,1024.0,4.0,bfloat16,64.0,64.0,4096.0,128.0,5.451007962226868,1.6743520200252533,1.873887985944748,2.908929457423605,1.1191720519538568,0.125
forward,8192.0,2048.0,1.0,bfloat16,32.0,128.0,4096.0,64.0,4.684288024902344,1.0381439924240112,1.388160020112991,3.374458244749809,1.3371555682480145,0.25
forward,8192.0,2048.0,1.0,float16,64.0,64.0,4096.0,128.0,2.31987202167511,0.6935040056705475,0.8374399840831757,2.7701949581675303,1.207548878212256,0.25
forward,8192.0,4096.0,2.0,float16,64.0,64.0,4096.0,256.0,8.634112119674683,2.2123119831085205,2.584544062614441,3.3406712791503717,1.1682547861006913,0.5
forward,8192.0,8192.0,2.0,bfloat16,64.0,64.0,4096.0,64.0,10.049279928207396,2.662799954414368,3.584079921245575,2.80386602671376,1.34598166689312,1.0
forward,16384.0,,4.0,float16,64.0,64.0,4096.0,,51.54918384552002,25.214879989624023,27.91430425643921,1.8466942027985085,1.1070567961428333,1.0
forward,16384.0,128.0,1.0,float16,32.0,128.0,4096.0,128.0,1.5779839754104614,0.5947519987821579,0.6626880168914795,2.3811868257591704,1.1142257920081489,0.0078125
forward,16384.0,512.0,4.0,float16,64.0,64.0,4096.0,64.0,7.101184010505676,2.037799954414368,2.165391981601715,3.279398866736827,1.0626126361966746,0.03125
forward,16384.0,4096.0,1.0,bfloat16,64.0,64.0,4096.0,128.0,7.225343942642212,2.4035200476646423,3.1556559801101685,2.2896488046171513,1.3129310001704924,0.25
training,1024.0,128.0,4.0,bfloat16,64.0,64.0,4096.0,256.0,2.078976035118103,0.8961920142173767,0.7338560074567795,2.8329481723845458,0.8188602395633245,0.125
training,1024.0,256.0,1.0,float16,32.0,128.0,4096.0,256.0,0.8350720107555389,0.4035359993577003,3.8556880056858063,0.2165818420795709,9.554755986635202,0.25
training,1024.0,256.0,2.0,bfloat16,32.0,128.0,4096.0,128.0,1.1368959844112396,0.6273680031299591,0.3780480027198791,3.0072794360287665,0.6025936943449227,0.25
training,1024.0,256.0,4.0,float16,32.0,128.0,4096.0,256.0,2.20441597700119,0.7209839969873428,0.6878319978713989,3.2048755856416853,0.954018398113591,0.25
training,1024.0,4096.0,2.0,float16,32.0,128.0,4096.0,256.0,1.514495998620987,0.5175120010972023,0.5210880041122437,2.906411175596283,1.0069099905073886,1.0
training,1024.0,8192.0,4.0,bfloat16,64.0,64.0,4096.0,128.0,2.3103999495506287,0.9644720107316972,0.7739680111408234,2.9851362282339235,0.8024784571546583,1.0
training,2048.0,,4.0,bfloat16,64.0,64.0,4096.0,,4.487167954444885,2.0285199880599976,2.319239974021912,1.9347579399743868,1.1433163033507738,1.0
training,2048.0,1024.0,4.0,bfloat16,32.0,128.0,4096.0,128.0,5.825792074203491,1.7158640027046204,1.9540239870548248,2.9814332438079916,1.1387988698258174,0.5
training,2048.0,4096.0,4.0,float16,64.0,64.0,4096.0,128.0,7.297024011611938,2.2665119767189026,4.5728960037231445,1.5957117777598424,2.017591810983086,1.0
training,4096.0,,2.0,bfloat16,64.0,64.0,4096.0,,8.626944065093994,3.531615972518921,4.285639882087708,2.012988562373435,1.2135067672805264,1.0
training,4096.0,128.0,2.0,bfloat16,64.0,64.0,4096.0,128.0,2.414848029613495,1.2113600373268127,1.76078400015831,1.3714618200735462,1.4535595907918069,0.03125
training,4096.0,128.0,2.0,float16,32.0,128.0,4096.0,256.0,4.23142409324646,1.377104014158249,1.645728021860123,2.57115637398201,1.19506442864163,0.03125
training,4096.0,256.0,2.0,float16,64.0,64.0,4096.0,128.0,3.1101439595222478,1.4494400024414062,1.0949280261993408,2.8405008229792266,0.7554145217153294,0.0625
training,4096.0,256.0,4.0,float16,64.0,64.0,4096.0,128.0,6.148864030838013,2.7631199955940247,2.198792040348053,2.7964736628138294,0.7957642244470636,0.0625
training,4096.0,512.0,1.0,bfloat16,64.0,64.0,4096.0,128.0,2.1355519592762,0.9028239995241164,4.231215909123421,0.5047135398294107,4.68664536094933,0.125
training,4096.0,512.0,2.0,bfloat16,32.0,128.0,4096.0,256.0,5.755647897720337,1.6012240052223206,1.6007999777793884,3.5954822448864014,0.9997351854321761,0.125
training,4096.0,4096.0,2.0,bfloat16,32.0,128.0,4096.0,128.0,11.433215856552124,3.0783040523529053,3.919863998889923,2.916737891873271,1.2733842831067226,1.0
training,4096.0,8192.0,2.0,bfloat16,32.0,128.0,4096.0,256.0,14.315263986587524,3.136631965637207,3.6010720133781438,3.9752784541396777,1.1480696660714498,1.0
training,4096.0,8192.0,2.0,float16,64.0,64.0,4096.0,128.0,11.634943962097168,3.503376007080078,3.62720000743866,3.207692969297593,1.0353441937457877,1.0
training,8192.0,,2.0,bfloat16,32.0,128.0,4096.0,,22.577407836914062,12.297807931900024,14.024072170257568,1.6099038540885804,1.1403717026576488,1.0
training,8192.0,128.0,2.0,float16,32.0,128.0,4096.0,128.0,4.944383978843689,1.925055980682373,4.668520033359528,1.05909023491662,2.425134687098648,0.015625
training,8192.0,1024.0,1.0,float16,32.0,128.0,4096.0,128.0,6.5648640394210815,1.8533200025558472,2.262784004211426,2.901233183195017,1.220935403001587,0.125
training,16384.0,,2.0,bfloat16,32.0,128.0,4096.0,,82.59430503845215,45.964576721191406,46.88824081420898,1.7615142646474131,1.0200951288776194,1.0
training,16384.0,512.0,1.0,float16,32.0,128.0,4096.0,128.0,8.979968070983887,2.6871439814567566,2.918656051158905,3.0767476241053577,1.0861554391204007,0.03125
training,16384.0,1024.0,1.0,bfloat16,64.0,64.0,4096.0,128.0,11.501823902130129,4.380839943885803,4.162567853927612,2.763155894570589,0.9501757442056685,0.0625
training,16384.0,8192.0,4.0,bfloat16,32.0,128.0,4096.0,256.0,249.70265579223636,59.58516025543213,72.44991302490234,3.446555632253265,1.2159053145837162,0.5
