cell_id,hardware,mode,world_size,phase,share_pct
00226e3238b3172bdf5b,A100-40GB,training,2,pack,4.534362938583451
00226e3238b3172bdf5b,A100-40GB,training,2,dispatch,12.924203790835154
00226e3238b3172bdf5b,A100-40GB,training,2,expert_compute,17.843987217682287
00226e3238b3172bdf5b,A100-40GB,training,2,return,16.806144741877084
00226e3238b3172bdf5b,A100-40GB,training,2,combine,47.89130131102202
01991ac29fa7746fe414,B200,training,8,pack,4.288631743524615
01991ac29fa7746fe414,B200,training,8,dispatch,16.301046637509756
01991ac29fa7746fe414,B200,training,8,expert_compute,17.68017461309443
01991ac29fa7746fe414,B200,training,8,return,17.807573718005578
01991ac29fa7746fe414,B200,training,8,combine,43.922573287865625
01c5267409ec109ccd6d,H100,training,8,pack,4.907616651214317
01c5267409ec109ccd6d,H100,training,8,dispatch,21.03726902168544
01c5267409ec109ccd6d,H100,training,8,expert_compute,11.888572382023709
01c5267409ec109ccd6d,H100,training,8,return,23.65157766726754
01c5267409ec109ccd6d,H100,training,8,combine,38.51496427780899
062c3bf796f7cc4376ca,A100-40GB,training,4,pack,3.2567374102360347
062c3bf796f7cc4376ca,A100-40GB,training,4,dispatch,14.353138276792608
062c3bf796f7cc4376ca,A100-40GB,training,4,expert_compute,53.45589208866096
062c3bf796f7cc4376ca,A100-40GB,training,4,return,14.174000201088175
062c3bf796f7cc4376ca,A100-40GB,training,4,combine,14.760232023222217
0bf65f7af1a2e50712e8,B200,forward,4,pack,3.275943582955959
0bf65f7af1a2e50712e8,B200,forward,4,dispatch,14.505560950271548
0bf65f7af1a2e50712e8,B200,forward,4,expert_compute,10.352111740616923
0bf65f7af1a2e50712e8,B200,forward,4,return,15.62154687942639
0bf65f7af1a2e50712e8,B200,forward,4,combine,56.244836846729186
0c5001fe1fbee6d543a8,B200,forward,2,pack,3.6339015015638294
0c5001fe1fbee6d543a8,B200,forward,2,dispatch,15.057905871070226
0c5001fe1fbee6d543a8,B200,forward,2,expert_compute,41.362503835723246
0c5001fe1fbee6d543a8,B200,forward,2,return,19.718028218730762
0c5001fe1fbee6d543a8,B200,forward,2,combine,20.227660572911937
0c8af170fbc6a3c51977,B200,forward,4,pack,3.991243474538356
0c8af170fbc6a3c51977,B200,forward,4,dispatch,17.81095910574181
0c8af170fbc6a3c51977,B200,forward,4,expert_compute,43.44779723418879
0c8af170fbc6a3c51977,B200,forward,4,return,23.400286245241098
0c8af170fbc6a3c51977,B200,forward,4,combine,11.349713940289945
0cd4ff06799e981354e4,A100-40GB,forward,2,pack,4.452063435936328
0cd4ff06799e981354e4,A100-40GB,forward,2,dispatch,13.275113169096233
0cd4ff06799e981354e4,A100-40GB,forward,2,expert_compute,11.697960144311937
0cd4ff06799e981354e4,A100-40GB,forward,2,return,13.701309993113245
0cd4ff06799e981354e4,A100-40GB,forward,2,combine,56.873553257542255
0d9261f1de0b3836ca72,H100,training,2,pack,5.152293902080032
0d9261f1de0b3836ca72,H100,training,2,dispatch,15.695162413882958
0d9261f1de0b3836ca72,H100,training,2,expert_compute,10.226895155723199
0d9261f1de0b3836ca72,H100,training,2,return,16.06510308779204
0d9261f1de0b3836ca72,H100,training,2,combine,52.860545440521776
0df02bb25898d4c41b63,A100-40GB,training,2,pack,4.802072677693856
0df02bb25898d4c41b63,A100-40GB,training,2,dispatch,15.825225162652744
0df02bb25898d4c41b63,A100-40GB,training,2,expert_compute,25.25673369460654
0df02bb25898d4c41b63,A100-40GB,training,2,return,16.246802881955904
0df02bb25898d4c41b63,A100-40GB,training,2,combine,37.86916558309096
101698e5c2e9bc3cb37b,H100,training,2,pack,5.180171541317617
101698e5c2e9bc3cb37b,H100,training,2,dispatch,15.91643279837896
101698e5c2e9bc3cb37b,H100,training,2,expert_compute,9.954976617352145
101698e5c2e9bc3cb37b,H100,training,2,return,16.55386460288879
101698e5c2e9bc3cb37b,H100,training,2,combine,52.394554440062485
1024579a112e0234e0f4,H100,training,4,pack,5.290345316801849
1024579a112e0234e0f4,H100,training,4,dispatch,18.73259003950185
